feature_name,null_rate,n_valid,n_null,mean,std,correlation_with_target,n_unique,min,max
tenure_months,0.0,30738,0,,,,473.0,,
tenure_bucket,0.0,30738,0,,,,6.0,,
is_tenure_missing,0.0,30738,0,,,,2.0,,
industry_tenure_months,0.0,30738,0,,,,1201.0,,
experience_years,0.0,30738,0,15.220725703255471,18.490510650409693,0.010308351774330485,,-14.333333333333334,417.1666666666667
experience_bucket,0.0,30738,0,,,,5.0,,
is_experience_missing,0.0,30738,0,,,,2.0,,
mobility_3yr,0.0,30738,0,,,,8.0,,
mobility_tier,0.0,30738,0,,,,3.0,,
firm_rep_count_at_contact,0.2139696792244128,24161,6577,,,,1703.0,,
firm_rep_count_12mo_ago,0.2139696792244128,24161,6577,,,,2350.0,,
firm_departures_12mo,0.0,30738,0,,,,1725.0,,
firm_arrivals_12mo,0.0,30738,0,,,,822.0,,
firm_net_change_12mo,0.0,30738,0,,,,1835.0,,
firm_stability_tier,0.0,30738,0,,,,5.0,,
has_firm_data,0.0,30738,0,,,,2.0,,
is_wirehouse,0.0,30738,0,,,,2.0,,
is_broker_protocol,0.0,30738,0,,,,2.0,,
has_email,0.0,30738,0,,,,2.0,,
has_linkedin,0.0,30738,0,,,,2.0,,
has_fintrx_match,0.0,30738,0,,,,1.0,,
has_employment_history,0.0,30738,0,,,,2.0,,
is_linkedin_sourced,0.0,30738,0,,,,1.0,,
is_provided_list,0.0,30738,0,,,,1.0,,
mobility_x_heavy_bleeding,0.0,30738,0,,,,2.0,,
short_tenure_x_high_mobility,0.0,30738,0,,,,2.0,,
tenure_bucket_x_mobility,0.0,30738,0,,,,10.0,,
