lead_id,advisor_crd,contacted_date,target,tenure_months,tenure_bucket,is_tenure_missing,industry_tenure_months,experience_years,experience_bucket,is_experience_missing,mobility_3yr,mobility_tier,firm_rep_count_at_contact,firm_rep_count_12mo_ago,firm_departures_12mo,firm_arrivals_12mo,firm_net_change_12mo,firm_stability_tier,has_firm_data,is_wirehouse,is_broker_protocol,has_email,has_linkedin,has_fintrx_match,has_employment_history,is_linkedin_sourced,is_provided_list,mobility_x_heavy_bleeding,short_tenure_x_high_mobility,tenure_bucket_x_mobility,is_recent_mover,days_since_last_move,firm_departures_corrected,bleeding_velocity_encoded,recent_mover_x_bleeding,is_independent_ria,is_ia_rep_type,is_dual_registered,independent_ria_x_ia_rep
00QVS000007GQHT2A4,7255015,2024-02-01,0,40,24-48,0,17,1.4166666666666667,0-5,0,0,Stable,2779,3892,1688,720,-968,Heavy_Bleeding,1,1,1,1,1,1,1,0,1,0,0,0,0,719,1418,2,0,1,1,0,1
00QVS000005i7yv2AA,6938063,2024-02-02,0,52,48-120,0,31,2.5833333333333335,0-5,0,0,Stable,477,707,365,139,-226,Heavy_Bleeding,1,0,1,1,0,1,1,0,1,0,0,0,0,1584,150,2,0,1,1,0,1
00QVS000004BLMz2AO,5810132,2024-02-26,1,37,24-48,0,249,20.75,20+,0,0,Stable,0,0,0,0,0,Stable,1,0,0,0,1,1,1,0,1,0,0,0,1,328,0,0,0,1,1,0,1
00QVS0000041iVk2AI,5730104,2024-02-27,0,49,48-120,0,203,16.916666666666668,15-20,0,0,Stable,13,15,3,1,-2,Light_Bleeding,1,0,0,1,1,1,1,0,1,0,0,0,0,9999,2,0,0,0,0,0,0
00QVS0000041iVt2AI,4962972,2024-02-27,0,162,120+,0,100,8.333333333333334,5-10,0,0,Stable,0,0,0,0,0,Stable,1,0,0,1,1,1,1,0,1,0,0,0,0,2048,0,0,0,0,0,0,0
00QVS0000041iVi2AI,6374704,2024-02-27,0,44,24-48,0,202,16.833333333333332,15-20,0,0,Stable,109,161,95,44,-51,Heavy_Bleeding,1,0,0,1,1,1,1,0,1,0,0,0,0,995,54,2,0,1,1,0,1
00QVS0000041iVl2AI,5045605,2024-02-27,0,59,48-120,0,394,32.833333333333336,20+,0,0,Stable,1828,2648,1410,720,-690,Heavy_Bleeding,1,1,0,1,1,1,1,0,1,0,0,0,0,1016,896,2,0,0,0,1,0
00QVS0000041iVg2AI,1778245,2024-02-27,0,92,48-120,0,725,60.416666666666664,20+,0,0,Stable,1,2,1,0,-1,Light_Bleeding,1,0,0,1,1,1,1,0,1,0,0,0,0,2503,1,0,0,1,1,0,1
00QVS0000041iVr2AI,4869911,2024-02-27,0,145,120+,0,81,6.75,5-10,0,0,Stable,2677,3885,1702,649,-1053,Heavy_Bleeding,1,1,1,1,1,1,1,0,1,0,0,0,0,1936,1406,2,0,1,1,0,1
00QVS0000041iW02AI,5524258,2024-02-27,0,129,120+,0,108,9.0,5-10,0,0,Stable,35,64,33,4,-29,Heavy_Bleeding,1,0,1,1,1,1,1,0,1,0,0,0,0,3610,5,2,0,0,1,0,0
