feature,importance
has_email,247.71974182128906
days_since_last_move,231.4918670654297
has_firm_data,230.2353515625
is_dual_registered,228.0235137939453
firm_stability_tier_encoded,215.16519165039062
tenure_months,211.4348907470703
tenure_bucket_encoded,206.42344665527344
mobility_3yr,195.1615753173828
mobility_tier_encoded,186.2241973876953
firm_rep_count_at_contact,152.031494140625
is_ia_rep_type,151.79806518554688
firm_departures_corrected,145.70773315429688
is_independent_ria,142.2394256591797
has_linkedin,138.29205322265625
experience_years,125.8681411743164
firm_net_change_12mo,114.29349517822266
short_tenure_x_high_mobility,113.1523666381836
is_recent_mover,104.69145202636719
is_broker_protocol,99.17701721191406
bleeding_velocity_encoded,85.00418853759766
is_wirehouse,45.806419372558594
