feature,gain_importance,shap_importance,shap_importance_pct
tenure_bucket_encoded,0.13404119,0.13404119,13.4041195
has_email,0.090882376,0.090882376,9.088238
is_ia_rep_type,0.080894165,0.080894165,8.0894165
has_firm_data,0.061681114,0.061681114,6.1681113
days_since_last_move,0.058621597,0.058621597,5.8621597
is_dual_registered,0.054494787,0.054494787,5.4494786
tenure_months,0.04800493,0.04800493,4.800493
age_bucket_encoded,0.043994315,0.043994315,4.3994317
is_independent_ria,0.041880205,0.041880205,4.1880207
firm_departures_corrected,0.04127752,0.04127752,4.127752
experience_years,0.0381613,0.0381613,3.81613
firm_rep_count_at_contact,0.037132062,0.037132062,3.7132063
has_linkedin,0.033060674,0.033060674,3.3060675
mobility_tier_encoded,0.03214713,0.03214713,3.214713
mobility_3yr,0.031988665,0.031988665,3.1988666
firm_net_change_12mo,0.03008745,0.03008745,3.008745
firm_stability_tier_encoded,0.028991565,0.028991565,2.8991566
is_recent_mover,0.028181797,0.028181797,2.8181796
short_tenure_x_high_mobility,0.023446983,0.023446983,2.3446982
bleeding_velocity_encoded,0.0230876,0.0230876,2.30876
cc_is_in_move_window,0.020189822,0.020189822,2.0189822
mobility_x_heavy_bleeding,0.01775276,0.01775276,1.775276
is_wirehouse,0.0,0.0,0.0
is_broker_protocol,0.0,0.0,0.0
cc_is_too_early,0.0,0.0,0.0
