decile,conv_rate,conversions,count,avg_score,lift,baseline
0,0.009900990099009901,4,404,0.33064133,0.252586912826621,0.03919834954317713
1,0.01818181818181818,5,275,0.3791395,0.46384142173615855,0.03919834954317713
2,0.032448377581120944,11,339,0.40146995,0.8277995874642358,0.03919834954317713
3,0.038348082595870206,13,339,0.4442501,0.9783086033668241,0.03919834954317713
4,0.061764705882352944,21,340,0.47201717,1.5756965944272447,0.03919834954317713
5,0.029498525073746312,10,339,0.49675977,0.7525450795129417,0.03919834954317713
6,0.035398230088495575,12,339,0.5195831,0.90305409541553,0.03919834954317713
7,0.02654867256637168,9,339,0.5389771,0.6772905715616475,0.03919834954317713
8,0.061946902654867256,21,339,0.5661687,1.5803446669771775,0.03919834954317713
9,0.07941176470588235,27,340,0.6193308,2.025895621406457,0.03919834954317713
