rank,feature,gain,gain_pct
1,tenure_bucket_encoded,501.8717041015625,11.43
2,is_dual_registered,293.62725830078125,6.69
3,has_firm_data,285.1973876953125,6.49
4,days_since_last_move,265.3258361816406,6.04
5,has_email,261.5036926269531,5.96
6,is_independent_ria,256.7185974121094,5.85
7,mobility_tier_encoded,254.1678466796875,5.79
8,tenure_months,224.7854766845703,5.12
9,is_ia_rep_type,219.75588989257812,5.0
10,age_bucket_encoded,190.61476135253906,4.34
11,mobility_3yr,172.49896240234375,3.93
12,firm_departures_corrected,161.23634338378906,3.67
13,firm_rep_count_at_contact,160.3277130126953,3.65
14,is_recent_mover,159.51348876953125,3.63
15,experience_years,159.45681762695312,3.63
16,short_tenure_x_high_mobility,139.666015625,3.18
17,is_wirehouse,138.7867431640625,3.16
18,firm_net_change_12mo,126.70738983154297,2.89
19,is_broker_protocol,114.02008819580078,2.6
20,firm_stability_tier_encoded,109.57992553710938,2.5
21,has_linkedin,99.32846069335938,2.26
22,bleeding_velocity_encoded,96.63153076171875,2.2
