decile,count,conversions,conv_rate,lift
0,413,5,0.012106537530266344,0.30885324691874966
1,333,5,0.015015015015015015,0.3830522251574883
2,278,9,0.03237410071942446,0.825904689782009
3,333,17,0.05105105105105105,1.3023775655354604
4,349,15,0.04297994269340974,1.0964732748777386
5,443,15,0.033860045146726865,0.8638130314499568
6,233,2,0.008583690987124463,0.2189809287166414
7,332,12,0.03614457831325301,0.9220943926080261
8,343,23,0.06705539358600583,1.710668800280585
9,336,30,0.08928571428571429,2.2777926960257786
