feature,importance
tenure_months,0.0
mobility_3yr,0.0
firm_rep_count_at_contact,0.0
firm_net_change_12mo,0.0
is_wirehouse,0.0
is_broker_protocol,0.0
has_email,0.0
has_linkedin,0.0
has_firm_data,0.0
mobility_x_heavy_bleeding,0.0
short_tenure_x_high_mobility,0.0
experience_years,0.0
tenure_bucket_encoded,0.0
mobility_tier_encoded,0.0
firm_stability_tier_encoded,0.0
is_recent_mover,0.0
days_since_last_move,0.0
firm_departures_corrected,0.0
bleeding_velocity_encoded,0.0
is_independent_ria,0.0
is_ia_rep_type,0.0
is_dual_registered,0.0
age_bucket_encoded,0.0
