feature,gain_importance,shap_importance,shap_importance_pct
firm_stability_tier_encoded,0.1065855,0.1065855,10.65855
tenure_bucket_encoded,0.10060682,0.10060682,10.060682
is_wirehouse,0.09925543,0.09925543,9.925543
tenure_months,0.07197969,0.07197969,7.1979685
has_email,0.06916867,0.06916867,6.9168673
is_dual_registered,0.062581494,0.062581494,6.2581496
days_since_last_move,0.05637982,0.05637982,5.637982
has_firm_data,0.049480774,0.049480774,4.948077
is_ia_rep_type,0.046698958,0.046698958,4.6698956
age_bucket_encoded,0.038679745,0.038679745,3.8679745
mobility_3yr,0.035948295,0.035948295,3.5948296
firm_departures_corrected,0.035603106,0.035603106,3.5603106
firm_rep_count_at_contact,0.032836646,0.032836646,3.2836647
experience_years,0.031840585,0.031840585,3.1840584
firm_net_change_12mo,0.031814907,0.031814907,3.1814907
has_linkedin,0.030885842,0.030885842,3.0885842
short_tenure_x_high_mobility,0.030414538,0.030414538,3.0414538
is_independent_ria,0.028446475,0.028446475,2.8446474
is_likely_recent_promotee,0.023880564,0.023880564,2.3880563
mobility_x_heavy_bleeding,0.01691213,0.01691213,1.691213
is_broker_protocol,0.0,0.0,0.0
mobility_tier_encoded,0.0,0.0,0.0
is_recent_mover,0.0,0.0,0.0
bleeding_velocity_encoded,0.0,0.0,0.0
cc_is_in_move_window,0.0,0.0,0.0
cc_is_too_early,0.0,0.0,0.0
